YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1992,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1993,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1994,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1995,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1996,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1997,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1998,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
1999,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2000,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2001,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2002,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2003,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2004,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2005,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2006,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2007,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2008,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2009,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2010,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2011,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2012,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2013,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2014,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2015,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2016,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
2017,23.687436,25.597863,29.085983,31.975812,33.565299,32.774274,31.035897,30.507692,30.486752,29.766581,27.28547,24.608291,29.181368,24.629573,31.517607,31.198205,27.20812
